openssh 7.1p2-1
openssl 1.0.2.e-1
opus 1.1.2-1
orc 0.4.24-1
ortp 0.25.0-1
oxygen-gtk2 1.4.6-2
oxygen-icons 1:5.18.0-1
p11-kit 0.23.2-1
p7zip 9.38.1-4
package-query 1.7-1
pacman 4.2.1-4
pacman-mirrorlist 20160110-1
pacmatic 20150126-1
pam 1.2.1-3
pambase 20130928-1
pango 1.38.1-1
pangomm 2.38.1-2
parted 3.2-3
patch 2.7.5-1
pciutils 3.4.0-1
pcmciautils 018-7
pcre 8.38-2
pep8 1.7.0-1
perl 5.22.1-1
perl-anyevent 4:7.11-1
perl-anyevent-i3 0.16-1
perl-async-interrupt 1.21-2
perl-common-sense 3.74-1
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-ev 4.22-1
perl-file-listing 6.04-2
perl-guard 1.023-2
perl-html-parser 3.71-4
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-io-html 1.001-1
perl-json-xs 3.01-4
perl-libwww 6.15-1
perl-lwp-mediatypes 6.02-2
perl-net-http 6.09-1
perl-net-ssleay 1.72-2
perl-types-serialiser 1.0-1
perl-uri 1.71-1
perl-www-robotrules 6.02-2
perl-xml-libxml 2.0123-1
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-2
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-3
perl-xml-simple 2.22-1
phonon-qt4 4.8.3-5
phonon-qt4-gstreamer 4.8.2-4
phonon-qt5 4.8.3-5
phonon-qt5-gstreamer 4.8.2-4
php 7.0.2-1
pinentry 0.9.7-1
pixman 0.32.8-1
pkg-config 0.29-1
pkgfile 15-1
polkit 0.113-4
polkit-gnome 0.105-3
polkit-qt4 0.112.0-3
polkit-qt5 0.112.0-3
poppler 0.39.0-1
poppler-data 0.4.7-1
poppler-glib 0.39.0-1
poppler-qt4 0.39.0-1
poppler-qt5 0.39.0-1
popt 1.16-7
portaudio 19_20140130-3
postfix 3.0.3-2
postgresql-libs 9.4.5-1
ppp 2.4.7-2
pptpclient 1.8.0-2
primus 20151110-4
prison 1.1.1-2
prison-frameworks 1.2.1.20150831-2
procps-ng 3.3.11-2
protobuf 2.6.1-2
protobuf-c 1.1.1-2
psmisc 22.21-3
pth 2.0.7-5
pulseaudio 7.1-3
pulseaudio-alsa 2-3
pygobject-devel 3.18.2-1
pygobject2-devel 2.28.6-12
pygtk 2.24.0-6
pyqt4-common 4.11.4-4
pyrex 0.9.9-4
python 3.5.1-1
python-astroid 1.4.4-1
python-blessings 1.6-3
python-cairo 1.10.0-6
python-chardet 2.3.0-2
python-crypto 2.6.1-3
python-cssselect 0.9.1-3
python-curtsies 0.1.19-1
python-dbus-common 1.2.0-5
python-distutils-extra 2.38-3
python-docutils 0.12-3
python-gobject 3.18.2-1
python-greenlet 0.4.9-2
python-html2text 2015.11.4-1
python-jedi 0.9.0-2
python-keyring 7.3-1
python-lazy-object-proxy 1.2.1-1
python-logilab-common 1.1.0-1
python-lxml 3.5.0-1
python-mccabe 0.3.1-2
python-packaging 15.3-2
python-pip 7.1.2-2
python-psutil 3.3.0-1
python-pyflakes 1.0.0-1
python-pygments 2.0.2-3
python-pylint 1.5.4-1
python-requests 2.9.1-1
python-setuptools 1:19.4-1
python-six 1.10.0-1
python-unidecode 0.04.17-2
python-urllib3 1.14-1
python-virtualenv 13.1.2-2
python-wrapt 1.10.6-1
python-xdg 0.25-3
python2 2.7.11-1
python2-atspi 2.18.0-1
python2-beaker 1.7.0-3
python2-cairo 1.10.0-2
python2-cffi 1.4.2-1
python2-chardet 2.3.0-2
python2-crypto 2.6.1-3
python2-cryptography 1.2.1-1
python2-dbus 1.2.0-5
python2-dnslib 0.9.6-1
python2-enum34 1.1.1-1
python2-gevent 1.0.2-1
python2-gobject 3.18.2-1
python2-gobject2 2.28.6-12
python2-greenlet 0.4.9-2
python2-idna 2.0-2
python2-ipaddress 1.0.16-1
python2-keybinder2 0.3.0-2
python2-mako 1.0.3-1
python2-markupsafe 0.23-3
python2-notify 0.1.1-13
python2-numpy 1.10.4-1
python2-packaging 15.3-2
python2-pip 7.1.2-2
python2-ply 3.8-1
python2-pyasn1 0.1.9-1
python2-pycparser 2.14-2
python2-pyopenssl 0.15.1-2
python2-pyqt4 4.11.4-4
python2-requests 2.9.1-1
python2-setuptools 1:19.4-1
python2-sip 4.16.9-2
python2-six 1.10.0-1
python2-termcolor 1.1.0-4
python2-twisted 15.5.0-2
python2-urllib3 1.14-1
python2-virtualenv 13.1.2-2
python2-zope-interface 4.1.3-2
qca-qt4 2.1.1-3
qhull 2012.1-3
qimageblitz 0.0.6-5
qjson 0.8.1-5
qoauth 1.0.1-6
qpdf 6.0.0-2
qrencode 3.4.4-1
qscintilla 2.9-3
qt4 4.8.7-6
qt4-gstreamer 1.2.0-2
qt5-base 5.5.1-9
qt5-declarative 5.5.1-9
qt5-graphicaleffects 5.5.1-9
qt5-location 5.5.1-9
qt5-multimedia 5.5.1-9
qt5-quick1 5.5.1-9
qt5-quickcontrols 5.5.1-9
qt5-script 5.5.1-9
qt5-sensors 5.5.1-9
qt5-svg 5.5.1-9
qt5-tools 5.5.1-9
qt5-translations 5.5.1-9
qt5-webchannel 5.5.1-9
qt5-webkit 5.5.1-9
qt5-x11extras 5.5.1-9
qt5-xmlpatterns 5.5.1-9
qtchooser 53-2
qtcreator 3.6.0-1
